Mon 26 Apr 2021 03:12:13 PM CEST
sec,tmp,clk,thr
0,44,1100,0
1,44,600,0
2,46,800,0
3,47,2000,0
4,45,600,0
5,44,2000,0
6,45,600,0
7,45,700,0
8,45,600,0
9,44,1300,0
10,44,600,0
11,46,700,0
12,44,700,0
13,44,600,0
14,45,600,0
15,45,600,0
16,45,600,0
17,46,600,0
18,44,700,0
19,45,700,0
20,44,600,0
21,45,600,0
22,46,2000,0
23,45,2000,0
24,45,600,0
25,44,600,0
26,45,1200,0
27,45,600,0
28,44,600,0
29,44,600,0
30,45,600,0
31,45,600,0
32,45,700,0
33,45,600,0
34,46,2000,0
35,46,700,0
36,45,600,0
37,45,600,0
38,45,600,0
39,45,600,0
40,45,600,0
41,46,600,0
42,46,600,0
43,45,600,0
44,45,600,0
45,45,600,0
46,46,600,0
47,44,800,0
48,44,600,0
49,46,2000,0
50,46,600,0
51,46,600,0
52,46,600,0
53,46,600,0
54,45,600,0
55,47,600,0
56,46,600,0
57,46,800,0
58,45,700,0
59,45,2000,0
60,45,600,0
61,50,2000,0
62,52,2000,0
63,55,2000,0
64,55,2000,0
65,55,2000,0
66,56,2000,0
67,57,2000,0
68,57,2000,0
69,57,2000,0
70,57,2000,0
71,58,2000,0
72,58,2000,0
73,59,2000,0
74,59,2000,0
75,60,2000,0
76,59,2000,0
77,60,2000,0
78,59,2000,0
79,59,2000,0
80,60,2000,0
81,61,2000,0
82,60,2000,0
83,60,2000,0
84,61,2000,0
85,60,2000,0
86,61,2000,0
87,61,2000,0
88,61,2000,0
89,62,2000,0
90,62,2000,0
91,62,2000,0
92,61,2000,0
93,63,2000,0
94,62,2000,0
95,62,2000,0
96,62,2000,0
97,62,2000,0
98,62,2000,0
99,62,2000,0
100,64,2000,0
101,63,2000,0
102,63,2000,0
103,64,2000,0
104,64,2000,0
105,64,2000,0
106,65,2000,0
107,64,2000,0
108,63,2000,0
109,65,2000,0
110,64,2000,0
111,64,2000,0
112,64,2000,0
113,65,2000,0
114,65,2000,0
115,64,2000,0
116,64,2000,0
117,66,2000,0
118,65,2000,0
119,65,2000,0
120,65,2000,0
121,65,2000,0
122,64,2000,0
123,65,2000,0
124,66,2000,0
125,65,2000,0
126,65,2000,0
127,66,2000,0
